URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.28.23 Liver Western Diet rnd2 %26 poop rnd2 march 16 samples.seq/627.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.28.23 Liver Western Diet rnd2 & poop rnd2 march 16 samples
Name	nluc 3 liver
Number	2
Position	RA2
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/28/2023 5:44:00 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500817
Data Points	63836
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.189047
Signal Max.	109.735200
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10104252

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.068895
0.001650	0.099	-0.072101
0.003317	0.1	-0.067357
0.004983	0.1	-0.061553
0.006650	0.1	-0.057156
0.008317	0.1	-0.054869
0.009983	0.1	-0.056563
0.011650	0.1	-0.060064
0.013317	0.1	-0.058311
0.014983	0.1	-0.050520
0.016650	0.1	-0.044062
0.018317	0.1	-0.045110
0.019983	0.1	-0.052146
0.021650	0.1	-0.060245
0.023317	0.1	-0.066072
0.024983	0.1	-0.070711
0.026650	0.1	-0.076500
0.028317	0.1	-0.081171
0.029983	0.1	-0.079915
0.031983	0.12	-0.074299
0.033650	0.1	-0.071205
0.035317	0.1	-0.072008
0.036983	0.1	-0.074346
0.038650	0.1	-0.076182
0.040317	0.1	-0.074867
0.041983	0.1	-0.073600
0.043650	0.1	-0.076465
0.045317	0.1	-0.082573
0.046983	0.1	-0.090233
0.048650	0.1	-0.098902
0.050317	0.1	-0.104905
0.051983	0.1	-0.104774
0.053650	0.1	-0.097594
0.055317	0.1	-0.083485
0.056983	0.1	-0.067174
0.058650	0.1	-0.058771
0.060317	0.1	-0.059837
0.061983	0.1	-0.062570
0.063650	0.1	-0.062139
0.065683	0.122	-0.061750
0.067317	0.098	-0.068869
0.068983	0.1	-0.087218
0.070650	0.1	-0.106933
0.072317	0.1	-0.115786
0.073983	0.1	-0.109424
0.075650	0.1	-0.094814
0.077317	0.1	-0.082770
0.078983	0.1	-0.076192
0.080650	0.1	-0.070862
0.082317	0.1	-0.064365
0.083983	0.1	-0.059634
0.085650	0.1	-0.061541
0.087317	0.1	-0.069503
0.088983	0.1	-0.075224
0.090650	0.1	-0.075221
0.092317	0.1	-0.072747
0.093983	0.1	-0.068403
0.095650	0.1	-0.060529
0.097317	0.1	-0.053215
0.099350	0.122	-0.052394
0.101017	0.1	-0.054785
0.102767	0.105	-0.058700
0.104467	0.102	-0.065326
0.106100	0.098	-0.068347
0.107783	0.101	-0.063929
0.109467	0.101	-0.054506
0.111167	0.102	-0.047670
0.112817	0.099	-0.047401
0.114500	0.101	-0.051823
0.116150	0.099	-0.054889
0.117850	0.102	-0.052102
0.119483	0.098	-0.045722
0.121167	0.101	-0.042360
0.122817	0.099	-0.043140
0.124500	0.101	-0.045363
0.126150	0.099	-0.045929
0.127833	0.101	-0.044700
0.129483	0.099	-0.043793
0.131167	0.101	-0.042961
0.133150	0.119	-0.041505
0.134817	0.1	-0.038586
0.136483	0.1	-0.037226
0.138150	0.1	-0.042183
0.139817	0.1	-0.047397
0.141500	0.101	-0.051783
0.143150	0.099	-0.057764
0.144833	0.101	-0.061253
0.146483	0.099	-0.061764
0.148150	0.1	-0.060682
0.149817	0.1	-0.061406
0.151483	0.1	-0.064991
0.153150	0.1	-0.067316
0.154817	0.1	-0.065431
0.156483	0.1	-0.060693
0.158167	0.101	-0.055297
0.159817	0.099	-0.050363
0.161567	0.105	-0.047239
0.163267	0.102	-0.047219
0.165283	0.121	-0.054141
0.166933	0.099	-0.066282
0.168600	0.1	-0.073534
0.170267	0.1	-0.069419
0.171933	0.1	-0.057829
0.173600	0.1	-0.046088
0.175267	0.1	-0.038100
0.176933	0.1	-0.036391
0.178600	0.1	-0.041584
0.180267	0.1	-0.044258
0.181933	0.1	-0.037589
0.183600	0.1	-0.027210
0.185250	0.099	-0.022350
0.186933	0.101	-0.025095
0.188583	0.099	-0.031104
0.190250	0.1	-0.033713
0.191917	0.1	-0.030575
0.193583	0.1	-0.028817
0.195250	0.1	-0.033564
0.196917	0.1	-0.039736
0.198933	0.121	-0.042134
0.200583	0.099	-0.043682
0.202233	0.099	-0.045850
0.203900	0.1	-0.049528
0.205567	0.1	-0.055546
0.207233	0.1	-0.058641
0.208900	0.1	-0.052336
0.210567	0.1	-0.039208
0.212233	0.1	-0.028785
0.213900	0.1	-0.028184
0.215567	0.1	-0.038398
0.217233	0.1	-0.055238
0.218900	0.1	-0.070581
0.220567	0.1	-0.075733
0.222233	0.1	-0.070024
0.223900	0.1	-0.063287
0.225567	0.1	-0.061848
0.227233	0.1	-0.061656
0.228900	0.1	-0.061254
0.230567	0.1	-0.065616
0.232567	0.12	-0.072062
0.234233	0.1	-0.078028
0.235933	0.102	-0.085101
0.237567	0.098	-0.087126
0.239233	0.1	-0.079223
0.240900	0.1	-0.067922
0.242567	0.1	-0.062130
0.244233	0.1	-0.061067
0.245900	0.1	-0.060716
0.247567	0.1	-0.058980
0.249233	0.1	-0.054632
0.250900	0.1	-0.050237
0.252567	0.1	-0.054374
0.254233	0.1	-0.062552
0.255900	0.1	-0.065025
0.257567	0.1	-0.063675
0.259233	0.1	-0.060675
0.260900	0.1	-0.058218
0.262567	0.1	-0.055057
0.264233	0.1	-0.049648
0.266333	0.126	-0.044293
0.268017	0.101	-0.040703
0.269683	0.1	-0.039478
0.271350	0.1	-0.039179
0.273017	0.1	-0.037394
0.274683	0.1	-0.034804
0.276350	0.1	-0.035772
0.278017	0.1	-0.043194
0.279683	0.1	-0.050736
0.281350	0.1	-0.050622
0.283017	0.1	-0.043422
0.284667	0.099	-0.036521
0.286333	0.1	-0.035669
0.288000	0.1	-0.039872
0.289667	0.1	-0.043937
0.291333	0.1	-0.050302
0.293000	0.1	-0.058091
0.294667	0.1	-0.059494
0.296333	0.1	-0.054886
0.298000	0.1	-0.054280
0.300000	0.12	-0.057781
0.301650	0.099	-0.060369
0.303317	0.1	-0.061449
0.304983	0.1	-0.056717
0.306650	0.1	-0.045879
0.308317	0.1	-0.037206
0.309983	0.1	-0.040424
0.311650	0.1	-0.052349
0.313317	0.1	-0.064871
0.314983	0.1	-0.069679
0.316650	0.1	-0.061612
0.318317	0.1	-0.048145
0.319983	0.1	-0.039016
0.321650	0.1	-0.036868
0.323317	0.1	-0.036092
0.324983	0.1	-0.033832
0.326650	0.1	-0.033715
0.328317	0.1	-0.040779
0.329983	0.1	-0.054557
0.331650	0.1	-0.071417
0.333650	0.12	-0.081050
0.335350	0.102	-0.078318
0.337017	0.1	-0.072233
0.338667	0.099	-0.070465
0.340317	0.099	-0.071336
0.341983	0.1	-0.074732
0.343650	0.1	-0.075899
0.345317	0.1	-0.070608
0.346983	0.1	-0.061024
0.348650	0.1	-0.050940
0.350317	0.1	-0.043370
0.351983	0.1	-0.040878
0.353650	0.1	-0.041199
0.355317	0.1	-0.040061
0.356983	0.1	-0.036345
0.358650	0.1	-0.029898
0.360317	0.1	-0.025629
0.361983	0.1	-0.028020
0.363650	0.1	-0.035186
0.365667	0.121	-0.039292
0.367317	0.099	-0.036116
0.368983	0.1	-0.029285
0.370650	0.1	-0.026520
0.372333	0.101	-0.031980
0.373983	0.099	-0.043295
0.375650	0.1	-0.055664
0.377317	0.1	-0.064944
0.378983	0.1	-0.070042
0.380650	0.1	-0.071473
0.382317	0.1	-0.071423
0.383983	0.1	-0.069592
0.385650	0.1	-0.064981
0.387317	0.1	-0.059122
0.388983	0.1	-0.052868
0.390650	0.1	-0.044199
0.392317	0.1	-0.038813
0.393983	0.1	-0.040282
0.395650	0.1	-0.044179
0.397317	0.1	-0.047753
0.399317	0.12	-0.050480
0.400983	0.1	-0.051072
0.402683	0.102	-0.050602
0.404350	0.1	-0.051041
0.406017	0.1	-0.051364
0.407683	0.1	-0.051063
0.409350	0.1	-0.051103
0.411017	0.1	-0.051592
0.412683	0.1	-0.051468
0.414350	0.1	-0.048749
0.416017	0.1	-0.044876
0.417683	0.1	-0.043438
0.419350	0.1	-0.048903
0.421017	0.1	-0.060230
0.422683	0.1	-0.072197
0.424350	0.1	-0.075369
0.426017	0.1	-0.067778
0.427683	0.1	-0.057719
0.429350	0.1	-0.051946
0.431017	0.1	-0.053176
0.433017	0.12	-0.057836
0.434717	0.102	-0.064107
0.436350	0.098	-0.071369
0.438017	0.1	-0.075022
0.439683	0.1	-0.072216
0.441350	0.1	-0.064905
0.443017	0.1	-0.057451
0.444683	0.1	-0.050987
0.446350	0.1	-0.045223
0.448017	0.1	-0.041361
0.449683	0.1	-0.040617
0.451333	0.099	-0.040338
0.453000	0.1	-0.037365
0.454667	0.1	-0.032592
0.456333	0.1	-0.031621
0.458000	0.1	-0.036492
0.459667	0.1	-0.048264
0.461333	0.1	-0.062840
0.463000	0.1	-0.070390
0.464667	0.1	-0.066974
0.466667	0.12	-0.056346
0.468317	0.099	-0.047034
0.469983	0.1	-0.045927
0.471683	0.102	-0.050682
0.473317	0.098	-0.055177
0.474983	0.1	-0.058071
0.476650	0.1	-0.060777
0.478317	0.1	-0.060947
0.479983	0.1	-0.057166
0.481650	0.1	-0.051541
0.483317	0.1	-0.046335
0.484983	0.1	-0.041247
0.486650	0.1	-0.038171
0.488317	0.1	-0.038707
0.489983	0.1	-0.042116
0.491650	0.1	-0.044439
0.493317	0.1	-0.045682
0.495000	0.101	-0.049086
0.496650	0.099	-0.054288
0.498317	0.1	-0.058968
0.500317	0.12	-0.062742
0.502017	0.102	-0.062187
0.503683	0.1	-0.057901
0.505333	0.099	-0.052869
0.506983	0.099	-0.047983
0.508650	0.1	-0.048239
0.510317	0.1	-0.059879
0.511983	0.1	-0.078291
0.513650	0.1	-0.087761
0.515317	0.1	-0.085096
0.516983	0.1	-0.075705
0.518650	0.1	-0.064463
0.520317	0.1	-0.059814
0.521983	0.1	-0.062746
0.523650	0.1	-0.063461
0.525317	0.1	-0.058163
0.526983	0.1	-0.054544
0.528650	0.1	-0.055181
0.530317	0.1	-0.051182
0.532333	0.121	-0.042584
0.533983	0.099	-0.036221
0.535650	0.1	-0.033255
0.537317	0.1	-0.034999
0.538983	0.1	-0.045050
0.540650	0.1	-0.061846
0.542317	0.1	-0.075648
0.543983	0.1	-0.080799
0.545650	0.1	-0.076744
0.547317	0.1	-0.066862
0.548983	0.1	-0.056619
0.550650	0.1	-0.047952
0.552317	0.1	-0.042102
0.553983	0.1	-0.041009
0.555650	0.1	-0.044711
0.557317	0.1	-0.048449
0.558983	0.1	-0.051003
0.560650	0.1	-0.054987
0.562317	0.1	-0.059724
0.563983	0.1	-0.064242
0.565983	0.12	-0.064265
0.567650	0.1	-0.060871
0.569350	0.102	-0.059101
0.571017	0.1	-0.061410
0.572733	0.103	-0.069550
0.574350	0.097	-0.077586
0.576017	0.1	-0.082609
0.577683	0.1	-0.084288
0.579350	0.1	-0.083461
0.581017	0.1	-0.085985
0.582683	0.1	-0.092440
0.584350	0.1	-0.094959
0.586017	0.1	-0.089712
0.587683	0.1	-0.077876
0.589350	0.1	-0.064569
0.591017	0.1	-0.059029
0.592683	0.1	-0.062268
0.594350	0.1	-0.067025
0.596017	0.1	-0.065590
0.597683	0.1	-0.057779
0.599717	0.122	-0.047199
0.601367	0.099	-0.037209
0.603017	0.099	-0.029175
0.604683	0.1	-0.024601
0.606350	0.1	-0.024684
0.608017	0.1	-0.034346
0.609683	0.1	-0.057753
0.611350	0.1	-0.087484
0.613017	0.1	-0.115526
0.614683	0.1	-0.134973
0.616350	0.1	-0.141788
0.618000	0.099	-0.137121
0.619667	0.1	-0.124955
0.621333	0.1	-0.114022
0.623000	0.1	-0.109729
0.624667	0.1	-0.105151
0.626333	0.1	-0.093786
0.628000	0.1	-0.078146
0.629667	0.1	-0.063988
0.631333	0.1	-0.053638
0.633333	0.12	-0.049199
0.634983	0.099	-0.051927
0.636683	0.102	-0.061471
0.638333	0.099	-0.072683
0.639983	0.099	-0.076041
0.641650	0.1	-0.067900
0.643317	0.1	-0.054566
0.644983	0.1	-0.041520
0.646650	0.1	-0.033203
0.648317	0.1	-0.027676
0.649983	0.1	-0.014697
0.651650	0.1	0.021937
0.653317	0.1	0.096892
0.654983	0.1	0.227896
0.656650	0.1	0.460239
0.658317	0.1	0.843536
0.659983	0.1	1.413469
0.661650	0.1	2.184660
0.663317	0.1	3.132136
0.664983	0.1	4.213419
0.666983	0.12	5.366523
0.668683	0.102	6.578068
0.670417	0.104	7.867583
0.672100	0.101	9.250613
0.673767	0.1	10.714110
0.675433	0.1	12.196210
0.677100	0.1	13.627550
0.678800	0.102	14.984220
0.680483	0.101	16.301350
0.682150	0.1	17.645500
0.683817	0.1	19.040010
0.685483	0.1	20.457650
0.687150	0.1	21.929530
0.688817	0.1	23.476760
0.690483	0.1	25.026260
0.692150	0.1	26.530600
0.693817	0.1	28.117420
0.695483	0.1	29.878620
0.697150	0.1	31.655810
0.699150	0.12	33.371800
0.700817	0.1	35.052090
0.702483	0.1	36.571450
0.704150	0.1	37.870720
0.705900	0.105	39.170870
0.707483	0.095	40.675790
0.709150	0.1	42.227650
0.710817	0.1	43.688710
0.712483	0.1	45.192130
0.714167	0.101	46.743600
0.715817	0.099	48.279880
0.717483	0.1	49.589770
0.719150	0.1	50.409480
0.720817	0.1	50.989310
0.722483	0.1	51.593020
0.724150	0.1	52.730200
0.725817	0.1	54.659730
0.727483	0.1	56.944680
0.729150	0.1	59.036440
0.730867	0.103	60.660590
0.732817	0.117	61.838160
0.734517	0.102	62.562420
0.736217	0.102	63.007240
0.737850	0.098	63.420640
0.739533	0.101	63.811100
0.741183	0.099	64.025370
0.742850	0.1	64.179620
0.744517	0.1	64.444300
0.746183	0.1	64.680690
0.747850	0.1	64.643490
0.749517	0.1	64.374790
0.751183	0.1	63.992490
0.752850	0.1	63.478780
0.754517	0.1	63.169230
0.756183	0.1	63.120790
0.757850	0.1	62.983520
0.759517	0.1	62.518410
0.761183	0.1	61.792650
0.762850	0.1	61.137100
0.764517	0.1	60.831610
0.766517	0.12	60.802860
0.768183	0.1	60.856840
0.769850	0.1	61.122030
0.771517	0.1	61.652140
0.773183	0.1	62.324580
0.774850	0.1	62.999760
0.776517	0.1	63.509460
0.778183	0.1	63.665340
0.779850	0.1	63.599860
0.781517	0.1	63.703710
0.783183	0.1	63.954890
0.784833	0.099	63.871460
0.786500	0.1	63.326670
0.788167	0.1	62.754710
0.789833	0.1	62.456170
0.791500	0.1	62.291890
0.793167	0.1	61.957890
0.794833	0.1	61.411320
0.796500	0.1	60.980260
0.798167	0.1	60.808970
0.800200	0.122	60.760270
0.801867	0.1	60.658830
0.803567	0.102	60.459100
0.805283	0.103	60.020640
0.806900	0.097	59.387900
0.808567	0.1	58.911200
0.810233	0.1	58.774130
0.811900	0.1	58.822730
0.813567	0.1	58.857140
0.815233	0.1	58.464330
0.816900	0.1	57.904290
0.818600	0.102	57.601350
0.820267	0.1	57.738750
0.821933	0.1	58.210170
0.823600	0.1	58.722330
0.825267	0.1	59.022460
0.826950	0.101	58.915490
0.828600	0.099	58.683090
0.830267	0.1	58.659070
0.831933	0.1	58.884500
0.833933	0.12	59.364170
0.835600	0.1	59.818820
0.837267	0.1	60.085780
0.838933	0.1	60.185340
0.840600	0.1	60.242840
0.842267	0.1	60.467210
0.843933	0.1	60.930990
0.845600	0.1	61.327100
0.847267	0.1	61.419550
0.848933	0.1	61.368050
0.850600	0.1	61.285970
0.852267	0.1	61.114420
0.853933	0.1	60.896620
0.855600	0.1	60.668800
0.857267	0.1	60.307190
0.858933	0.1	59.649540
0.860600	0.1	58.970560
0.862267	0.1	58.396440
0.863933	0.1	57.924410
0.865600	0.1	57.527270
0.867600	0.12	57.019410
0.869283	0.101	56.354310
0.870933	0.099	55.453110
0.872583	0.099	54.305600
0.874250	0.1	53.269330
0.875917	0.1	52.624480
0.877583	0.1	52.062810
0.879250	0.1	51.319230
0.880917	0.1	50.463640
0.882583	0.1	49.662190
0.884250	0.1	48.872890
0.885900	0.099	48.011060
0.887583	0.101	47.044970
0.889233	0.099	46.111730
0.890900	0.1	45.362560
0.892567	0.1	44.806920
0.894250	0.101	44.286820
0.895900	0.099	43.631930
0.897567	0.1	42.784380
0.899583	0.121	41.978880
0.901233	0.099	41.398920
0.902900	0.1	40.731850
0.904600	0.102	39.744510
0.906233	0.098	38.610170
0.907900	0.1	37.614030
0.909567	0.1	36.806740
0.911233	0.1	36.145110
0.912900	0.1	35.644570
0.914567	0.1	35.229300
0.916233	0.1	34.680600
0.917900	0.1	34.144200
0.919567	0.1	33.607870
0.921233	0.1	32.922330
0.922900	0.1	32.240910
0.924567	0.1	31.783470
0.926233	0.1	31.577810
0.927900	0.1	31.461160
0.929567	0.1	31.237010
0.931233	0.1	30.817940
0.933233	0.12	30.288870
0.934933	0.102	29.691280
0.936567	0.098	29.168470
0.938233	0.1	28.766770
0.939900	0.1	28.454130
0.941567	0.1	28.132380
0.943233	0.1	27.781140
0.944900	0.1	27.568470
0.946567	0.1	27.448950
0.948233	0.1	27.298500
0.949900	0.1	27.005440
0.951567	0.1	26.624180
0.953233	0.1	26.343550
0.954900	0.1	26.200040
0.956567	0.1	26.067320
0.958233	0.1	25.838910
0.959900	0.1	25.462130
0.961567	0.1	24.996470
0.963233	0.1	24.583930
0.964900	0.1	24.377460
0.966900	0.12	24.409540
0.968567	0.1	24.482050
0.970300	0.104	24.438760
0.971900	0.096	24.273650
0.973567	0.1	23.997650
0.975233	0.1	23.686130
0.976900	0.1	23.415190
0.978567	0.1	23.081590
0.980233	0.1	22.545170
0.981900	0.1	21.757180
0.983567	0.1	20.977260
0.985267	0.102	20.616900
0.986950	0.101	20.647970
0.988617	0.1	20.774440
0.990283	0.1	20.794220
0.991933	0.099	20.642990
0.993617	0.101	20.385940
0.995267	0.099	20.060750
0.996950	0.101	19.701710
0.998600	0.099	19.309280
1.000600	0.12	18.795710
1.002267	0.1	18.220450
1.003950	0.101	17.727800
1.005600	0.099	17.369850
1.007267	0.1	17.149590
1.008933	0.1	16.903650
1.010600	0.1	16.478700
1.012267	0.1	15.871750
1.013933	0.1	15.199180
1.015617	0.101	14.689360
1.017267	0.099	14.377560
1.018933	0.1	14.150180
1.020600	0.1	13.923920
1.022267	0.1	13.645640
1.023933	0.1	13.352300
1.025600	0.1	13.089880
1.027267	0.1	12.846600
1.028933	0.1	12.543380
1.030600	0.1	12.111930
1.032267	0.1	11.641430
1.034267	0.12	11.228550
1.035917	0.099	10.834620
1.037617	0.102	10.378220
1.039267	0.099	9.870443
1.040917	0.099	9.350169
1.042600	0.101	8.823618
1.044250	0.099	8.312390
1.045917	0.1	7.869070
1.047583	0.1	7.530165
1.049250	0.1	7.256175
1.050917	0.1	6.994551
1.052567	0.099	6.752424
1.054233	0.1	6.534950
1.055900	0.1	6.344894
1.057567	0.1	6.180697
1.059233	0.1	6.012122
1.060900	0.1	5.829847
1.062567	0.1	5.647591
1.064233	0.1	5.442057
1.066300	0.124	5.209837
1.068017	0.103	4.997311
1.069683	0.1	4.812783
1.071350	0.1	4.683279
1.073017	0.1	4.613883
1.074683	0.1	4.577716
1.076350	0.1	4.545488
1.078017	0.1	4.480091
1.079683	0.1	4.382937
1.081350	0.1	4.300748
1.083017	0.1	4.255988
1.084683	0.1	4.222769
1.086350	0.1	4.175413
1.088017	0.1	4.106616
1.089683	0.1	4.036221
1.091350	0.1	3.994075
1.093017	0.1	3.973634
1.094683	0.1	3.951824
1.096350	0.1	3.937859
1.098050	0.102	3.932372
1.100017	0.118	3.928002
1.101683	0.1	3.911036
1.103350	0.1	3.878761
1.105050	0.102	3.844452
1.106683	0.098	3.799633
1.108350	0.1	3.738920
1.110017	0.1	3.661097
1.111683	0.1	3.576876
1.113350	0.1	3.527535
1.115017	0.1	3.519092
1.116683	0.1	3.534030
1.118333	0.099	3.548831
1.120000	0.1	3.563404
1.121667	0.1	3.586301
1.123333	0.1	3.596605
1.125000	0.1	3.571895
1.126667	0.1	3.520582
1.128333	0.1	3.467958
1.130000	0.1	3.439865
1.131667	0.1	3.436197
1.133667	0.12	3.433404
1.135317	0.099	3.418652
1.136983	0.1	3.393588
1.138650	0.1	3.367593
1.140317	0.1	3.343695
1.141983	0.1	3.316838
1.143650	0.1	3.287854
1.145317	0.1	3.254404
1.146983	0.1	3.224975
1.148650	0.1	3.218202
1.150317	0.1	3.241074
1.151983	0.1	3.270174
1.153650	0.1	3.280650
1.155317	0.1	3.262273
1.156983	0.1	3.228509
1.158650	0.1	3.201758
1.160317	0.1	3.191092
1.161983	0.1	3.191525
1.163650	0.1	3.188628
1.165317	0.1	3.162368
1.167317	0.12	3.108182
1.168983	0.1	3.046556
1.170683	0.102	3.006312
1.172317	0.098	3.001714
1.173983	0.1	3.020854
1.175650	0.1	3.042418
1.177317	0.1	3.050597
1.178983	0.1	3.039379
1.180650	0.1	3.010297
1.182317	0.1	2.969074
1.183983	0.1	2.928977
1.185650	0.1	2.903620
1.187317	0.1	2.896966
1.188983	0.1	2.906049
1.190650	0.1	2.919676
1.192317	0.1	2.918972
1.193983	0.1	2.906492
1.195650	0.1	2.897375
1.197317	0.1	2.893980
1.198983	0.1	2.879700
1.200983	0.12	2.853000
1.202650	0.1	2.835159
1.204400	0.105	2.823568
1.206100	0.102	2.806780
1.207767	0.1	2.789349
1.209433	0.1	2.769843
1.211100	0.1	2.725324
1.212783	0.101	2.668141
1.214433	0.099	2.634644
1.216100	0.1	2.639289
1.217767	0.1	2.664923
1.219417	0.099	2.683921
1.221083	0.1	2.663518
1.222750	0.1	2.603211
1.224417	0.1	2.561071
1.226083	0.1	2.559938
1.227750	0.1	2.565007
1.229433	0.101	2.562101
1.231083	0.099	2.560333
1.233100	0.121	2.569124
1.234733	0.098	2.580738
1.236400	0.1	2.588252
1.238067	0.1	2.583805
1.239733	0.1	2.555789
1.241400	0.1	2.526562
1.243067	0.1	2.511535
1.244733	0.1	2.504717
1.246400	0.1	2.503223
1.248067	0.1	2.500785
1.249733	0.1	2.475663
1.251400	0.1	2.442552
1.253067	0.1	2.430297
1.254733	0.1	2.443806
1.256400	0.1	2.466134
1.258067	0.1	2.469388
1.259733	0.1	2.439860
1.261400	0.1	2.386740
1.263067	0.1	2.331010
1.264733	0.1	2.292014
1.266750	0.121	2.272527
1.268400	0.099	2.266335
1.270083	0.101	2.260586
1.271733	0.099	2.242518
1.273417	0.101	2.216867
1.275067	0.099	2.195008
1.276750	0.101	2.194329
1.278400	0.099	2.210306
1.280083	0.101	2.222563
1.281733	0.099	2.232345
1.283417	0.101	2.237205
1.285067	0.099	2.239589
1.286750	0.101	2.249801
1.288400	0.099	2.262981
1.290083	0.101	2.265875
1.291733	0.099	2.249339
1.293417	0.101	2.225707
1.295067	0.099	2.214198
1.296750	0.101	2.210264
1.298400	0.099	2.204578
1.300400	0.12	2.203252
1.302067	0.1	2.207047
1.303733	0.1	2.206531
1.305400	0.1	2.188523
1.307067	0.1	2.149614
1.308750	0.101	2.121800
1.310400	0.099	2.130989
1.312067	0.1	2.170423
1.313733	0.1	2.209992
1.315400	0.1	2.227946
1.317067	0.1	2.225599
1.318733	0.1	2.209189
1.320400	0.1	2.183657
1.322067	0.1	2.157533
1.323733	0.1	2.131440
1.325400	0.1	2.116438
1.327067	0.1	2.103965
1.328733	0.1	2.080369
1.330400	0.1	2.038353
1.332067	0.1	1.990671
1.334100	0.122	1.968508
1.335817	0.103	1.968894
1.337417	0.096	1.952644
1.339067	0.099	1.929167
1.340733	0.1	1.933259
1.342400	0.1	1.961633
1.344083	0.101	1.988907
1.345733	0.099	2.011990
1.347400	0.1	2.031291
1.349067	0.1	2.040807
1.350733	0.1	2.048542
1.352400	0.1	2.060013
1.354067	0.1	2.065993
1.355733	0.1	2.056226
1.357400	0.1	2.033132
1.359067	0.1	2.011720
1.360733	0.1	2.006189
1.362400	0.1	2.015254
1.364067	0.1	2.024010
1.365733	0.1	2.019198
1.367767	0.122	1.991972
1.369433	0.1	1.954639
1.371100	0.1	1.927076
1.372767	0.1	1.913535
1.374433	0.1	1.903885
1.376100	0.1	1.885766
1.377767	0.1	1.866025
1.379467	0.102	1.853618
1.381100	0.098	1.840471
1.382767	0.1	1.840098
1.384433	0.1	1.855730
1.386100	0.1	1.876818
1.387767	0.1	1.896816
1.389433	0.1	1.917186
1.391100	0.1	1.936006
1.392767	0.1	1.942938
1.394433	0.1	1.931642
1.396100	0.1	1.911009
1.397767	0.1	1.897222
1.399433	0.1	1.880212
1.401483	0.123	1.854138
1.403183	0.102	1.829336
1.404817	0.098	1.805945
1.406483	0.1	1.778196
1.408167	0.101	1.760277
1.409817	0.099	1.766997
1.411483	0.1	1.795728
1.413150	0.1	1.829676
1.414817	0.1	1.843485
1.416483	0.1	1.827330
1.418150	0.1	1.793719
1.419817	0.1	1.759218
1.421483	0.1	1.736787
1.423150	0.1	1.732102
1.424817	0.1	1.744683
1.426483	0.1	1.759644
1.428150	0.1	1.759271
1.429817	0.1	1.754457
1.431483	0.1	1.754822
1.433500	0.121	1.752555
1.435150	0.099	1.732314
1.436817	0.1	1.690809
1.438483	0.1	1.660850
1.440250	0.106	1.661424
1.441900	0.099	1.660205
1.443567	0.1	1.631685
1.445233	0.1	1.586396
1.446900	0.1	1.550274
1.448567	0.1	1.541403
1.450233	0.1	1.557015
1.451900	0.1	1.573837
1.453567	0.1	1.578586
1.455233	0.1	1.582920
1.456900	0.1	1.601857
1.458567	0.1	1.637538
1.460233	0.1	1.673161
1.461900	0.1	1.695400
1.463567	0.1	1.709964
1.465233	0.1	1.715319
1.467233	0.12	1.698672
1.468900	0.1	1.665940
1.470600	0.102	1.637006
1.472233	0.098	1.621327
1.473900	0.1	1.617126
1.475583	0.101	1.621964
1.477233	0.099	1.630862
1.478900	0.1	1.633927
1.480567	0.1	1.629836
1.482233	0.1	1.624381
1.483900	0.1	1.615580
1.485567	0.1	1.598877
1.487233	0.1	1.581044
1.488900	0.1	1.573755
1.490567	0.1	1.577132
1.492233	0.1	1.579107
1.493900	0.1	1.567516
1.495567	0.1	1.551547
1.497233	0.1	1.532526
1.498900	0.1	1.501052
1.500900	0.12	1.472385
1.502583	0.101	1.465488
1.504233	0.099	1.478722
1.505900	0.1	1.497334
1.507567	0.1	1.518909
1.509233	0.1	1.534813
1.510900	0.1	1.532958
1.512567	0.1	1.521608
1.514233	0.1	1.513152
1.515900	0.1	1.514347
1.517567	0.1	1.520410
1.519233	0.1	1.524122
1.520900	0.1	1.528320
1.522567	0.1	1.534692
1.524233	0.1	1.541313
1.525900	0.1	1.544360
1.527567	0.1	1.536794
1.529233	0.1	1.523539
1.530900	0.1	1.513764
1.532567	0.1	1.499319
1.534567	0.12	1.466158
1.536233	0.1	1.435793
1.537900	0.1	1.429369
1.539567	0.1	1.438795
1.541233	0.1	1.444996
1.542900	0.1	1.438222
1.544567	0.1	1.427043
1.546233	0.1	1.420001
1.547900	0.1	1.410328
1.549567	0.1	1.399439
1.551267	0.102	1.403570
1.552933	0.1	1.429215
1.554600	0.1	1.464227
1.556267	0.1	1.495502
1.557933	0.1	1.512003
1.559600	0.1	1.506396
1.561267	0.1	1.476360
1.562933	0.1	1.436826
1.564600	0.1	1.410925
