URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.6.26Finish rep 1 intestines wiht reruns.seq/696.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.6.26Finish rep 1 intestines wiht reruns
Name	asgr1 int 1
Number	1
Position	RA1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/7/2026 4:47:55 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.006500
Time Max. (min)	107.503167
Data Points	32250
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-3,314,091.000000
Signal Max.	36,186,582.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.006500	n.a.	2,667.000000
0.009833	0.2	2,667.000000
0.013167	0.2	2,667.000000
0.016500	0.2	2,667.000000
0.019833	0.2	2,667.000000
0.023167	0.2	2,667.000000
0.026500	0.2	2,667.000000
0.029833	0.2	2,667.000000
0.033167	0.2	2,667.000000
0.036500	0.2	-42,445.000000
0.039833	0.2	-42,559.000000
0.043167	0.2	-42,714.000000
0.046500	0.2	-42,886.000000
0.049833	0.2	-43,059.000000
0.053167	0.2	-43,226.000000
0.056500	0.2	-43,378.000000
0.059833	0.2	-43,512.000000
0.063167	0.2	-43,624.000000
0.066500	0.2	-43,710.000000
0.069833	0.2	-43,769.000000
0.073167	0.2	-43,804.000000
0.076500	0.2	-43,821.000000
0.079833	0.2	-43,827.000000
0.083167	0.2	-43,828.000000
0.086500	0.2	-43,835.000000
0.089833	0.2	-43,853.000000
0.093167	0.2	-43,882.000000
0.096500	0.2	-43,917.000000
0.099833	0.2	-43,954.000000
0.103167	0.2	-43,992.000000
0.106500	0.2	-44,030.000000
0.109833	0.2	-44,066.000000
0.113167	0.2	-44,094.000000
0.116500	0.2	-44,107.000000
0.119833	0.2	-44,111.000000
0.123167	0.2	-44,107.000000
0.126500	0.2	-44,101.000000
0.129833	0.2	-44,095.000000
0.133167	0.2	-44,093.000000
0.136500	0.2	-44,093.000000
0.139833	0.2	-44,095.000000
0.143167	0.2	-44,097.000000
0.146500	0.2	-44,099.000000
0.149833	0.2	-44,100.000000
0.153167	0.2	-44,098.000000
0.156500	0.2	-44,091.000000
0.159833	0.2	-44,079.000000
0.163167	0.2	-44,066.000000
0.166500	0.2	-44,053.000000
0.169833	0.2	-44,046.000000
0.173167	0.2	-44,047.000000
0.176500	0.2	-44,060.000000
0.179833	0.2	-44,078.000000
0.183167	0.2	-44,092.000000
0.186500	0.2	-44,095.000000
0.189833	0.2	-44,083.000000
0.193167	0.2	-44,054.000000
0.196500	0.2	-44,020.000000
0.199833	0.2	-43,989.000000
0.203167	0.2	-43,969.000000
0.206500	0.2	-43,965.000000
0.209833	0.2	-43,976.000000
0.213167	0.2	-43,999.000000
0.216500	0.2	-44,030.000000
0.219833	0.2	-44,060.000000
0.223167	0.2	-44,083.000000
0.226500	0.2	-44,094.000000
0.229833	0.2	-44,096.000000
0.233167	0.2	-44,094.000000
0.236500	0.2	-44,090.000000
0.239833	0.2	-44,084.000000
0.243167	0.2	-44,072.000000
0.246500	0.2	-44,056.000000
0.249833	0.2	-44,039.000000
0.253167	0.2	-44,021.000000
0.256500	0.2	-44,004.000000
0.259833	0.2	-43,985.000000
0.263167	0.2	-43,965.000000
0.266500	0.2	-43,943.000000
0.269833	0.2	-43,916.000000
0.273167	0.2	-43,884.000000
0.276500	0.2	-43,850.000000
0.279833	0.2	-43,822.000000
0.283167	0.2	-43,801.000000
0.286500	0.2	-43,789.000000
0.289833	0.2	-43,783.000000
0.293167	0.2	-43,781.000000
0.296500	0.2	-43,782.000000
0.299833	0.2	-43,790.000000
0.303167	0.2	-43,805.000000
0.306500	0.2	-43,826.000000
0.309833	0.2	-43,855.000000
0.313167	0.2	-43,888.000000
0.316500	0.2	-43,919.000000
0.319833	0.2	-43,943.000000
0.323167	0.2	-43,963.000000
0.326500	0.2	-43,982.000000
0.329833	0.2	-44,001.000000
0.333167	0.2	-44,021.000000
0.336500	0.2	-44,036.000000
0.339833	0.2	-44,042.000000
0.343167	0.2	-44,037.000000
0.346500	0.2	-44,023.000000
0.349833	0.2	-44,005.000000
0.353167	0.2	-43,988.000000
0.356500	0.2	-43,975.000000
0.359833	0.2	-43,963.000000
0.363167	0.2	-43,950.000000
0.366500	0.2	-43,934.000000
0.369833	0.2	-43,915.000000
0.373167	0.2	-43,895.000000
0.376500	0.2	-43,875.000000
0.379833	0.2	-43,860.000000
0.383167	0.2	-43,855.000000
0.386500	0.2	-43,858.000000
0.389833	0.2	-43,864.000000
0.393167	0.2	-43,867.000000
0.396500	0.2	-43,869.000000
0.399833	0.2	-43,873.000000
0.403167	0.2	-43,885.000000
0.406500	0.2	-43,904.000000
0.409833	0.2	-43,929.000000
0.413167	0.2	-43,956.000000
0.416500	0.2	-43,978.000000
0.419833	0.2	-43,991.000000
0.423167	0.2	-43,994.000000
0.426500	0.2	-43,987.000000
0.429833	0.2	-43,974.000000
0.433167	0.2	-43,957.000000
0.436500	0.2	-43,937.000000
0.439833	0.2	-43,917.000000
0.443167	0.2	-43,898.000000
0.446500	0.2	-43,879.000000
0.449833	0.2	-43,860.000000
0.453167	0.2	-43,846.000000
0.456500	0.2	-43,838.000000
0.459833	0.2	-43,842.000000
0.463167	0.2	-43,861.000000
0.466500	0.2	-43,891.000000
0.469833	0.2	-43,928.000000
0.473167	0.2	-43,965.000000
0.476500	0.2	-43,996.000000
0.479833	0.2	-44,014.000000
0.483167	0.2	-44,021.000000
0.486500	0.2	-44,020.000000
0.489833	0.2	-44,014.000000
0.493167	0.2	-44,007.000000
0.496500	0.2	-44,004.000000
0.499833	0.2	-44,004.000000
0.503167	0.2	-44,006.000000
0.506500	0.2	-44,011.000000
0.509833	0.2	-44,020.000000
0.513167	0.2	-44,029.000000
0.516500	0.2	-44,033.000000
0.519833	0.2	-44,031.000000
0.523167	0.2	-44,022.000000
0.526500	0.2	-44,006.000000
0.529833	0.2	-43,983.000000
0.533167	0.2	-43,951.000000
0.536500	0.2	-43,913.000000
0.539833	0.2	-43,873.000000
0.543167	0.2	-43,839.000000
0.546500	0.2	-43,816.000000
0.549833	0.2	-43,808.000000
0.553167	0.2	-43,812.000000
0.556500	0.2	-43,825.000000
0.559833	0.2	-43,844.000000
0.563167	0.2	-43,864.000000
0.566500	0.2	-43,881.000000
0.569833	0.2	-43,894.000000
0.573167	0.2	-43,900.000000
0.576500	0.2	-43,902.000000
0.579833	0.2	-43,896.000000
0.583167	0.2	-43,883.000000
0.586500	0.2	-43,866.000000
0.589833	0.2	-43,851.000000
0.593167	0.2	-43,842.000000
0.596500	0.2	-43,843.000000
0.599833	0.2	-43,851.000000
0.603167	0.2	-43,863.000000
0.606500	0.2	-43,871.000000
0.609833	0.2	-43,851.000000
0.613167	0.2	-43,775.000000
0.616500	0.2	-43,612.000000
0.619833	0.2	-43,337.000000
0.623167	0.2	-42,930.000000
0.626500	0.2	-42,385.000000
0.629833	0.2	-41,705.000000
0.633167	0.2	-40,908.000000
0.636500	0.2	-40,027.000000
0.639833	0.2	-39,102.000000
0.643167	0.2	-38,178.000000
0.646500	0.2	-37,304.000000
0.649833	0.2	-36,523.000000
0.653167	0.2	-35,866.000000
0.656500	0.2	-35,352.000000
0.659833	0.2	-34,977.000000
0.663167	0.2	-34,729.000000
0.666500	0.2	-34,580.000000
0.669833	0.2	-34,501.000000
0.673167	0.2	-34,462.000000
0.676500	0.2	-34,435.000000
0.679833	0.2	-34,397.000000
0.683167	0.2	-34,326.000000
0.686500	0.2	-34,200.000000
0.689833	0.2	-34,004.000000
0.693167	0.2	-33,728.000000
0.696500	0.2	-33,367.000000
0.699833	0.2	-32,908.000000
0.703167	0.2	-32,323.000000
0.706500	0.2	-31,572.000000
0.709833	0.2	-30,612.000000
0.713167	0.2	-29,416.000000
0.716500	0.2	-27,985.000000
0.719833	0.2	-26,337.000000
0.723167	0.2	-24,508.000000
0.726500	0.2	-22,540.000000
0.729833	0.2	-20,482.000000
0.733167	0.2	-18,373.000000
0.736500	0.2	-16,244.000000
0.739833	0.2	-14,115.000000
0.743167	0.2	-12,003.000000
0.746500	0.2	-9,924.000000
0.749833	0.2	-7,887.000000
0.753167	0.2	-5,890.000000
0.756500	0.2	-3,925.000000
0.759833	0.2	-1,988.000000
0.763167	0.2	-87.000000
0.766500	0.2	1,756.000000
0.769833	0.2	3,517.000000
0.773167	0.2	5,168.000000
0.776500	0.2	6,683.000000
0.779833	0.2	8,045.000000
0.783167	0.2	9,252.000000
0.786500	0.2	10,305.000000
0.789833	0.2	11,215.000000
0.793167	0.2	11,990.000000
0.796500	0.2	12,635.000000
0.799833	0.2	13,148.000000
0.803167	0.2	13,521.000000
0.806500	0.2	13,740.000000
0.809833	0.2	13,797.000000
0.813167	0.2	13,689.000000
0.816500	0.2	13,419.000000
0.819833	0.2	13,002.000000
0.823167	0.2	12,468.000000
0.826500	0.2	11,857.000000
0.829833	0.2	11,209.000000
0.833167	0.2	10,558.000000
0.836500	0.2	9,932.000000
0.839833	0.2	9,359.000000
0.843167	0.2	8,864.000000
0.846500	0.2	8,463.000000
0.849833	0.2	8,152.000000
0.853167	0.2	7,915.000000
0.856500	0.2	7,726.000000
0.859833	0.2	7,547.000000
0.863167	0.2	7,349.000000
0.866500	0.2	7,102.000000
0.869833	0.2	6,783.000000
0.873167	0.2	6,366.000000
0.876500	0.2	5,832.000000
0.879833	0.2	5,169.000000
0.883167	0.2	4,366.000000
0.886500	0.2	3,416.000000
0.889833	0.2	2,318.000000
0.893167	0.2	1,086.000000
0.896500	0.2	-260.000000
0.899833	0.2	-1,707.000000
0.903167	0.2	-3,251.000000
0.906500	0.2	-4,899.000000
0.909833	0.2	-6,662.000000
0.913167	0.2	-8,544.000000
0.916500	0.2	-10,532.000000
0.919833	0.2	-12,604.000000
0.923167	0.2	-14,728.000000
0.926500	0.2	-16,860.000000
0.929833	0.2	-18,950.000000
0.933167	0.2	-20,951.000000
0.936500	0.2	-22,827.000000
0.939833	0.2	-24,555.000000
0.943167	0.2	-26,126.000000
0.946500	0.2	-27,544.000000
0.949833	0.2	-28,816.000000
0.953167	0.2	-29,952.000000
0.956500	0.2	-30,959.000000
0.959833	0.2	-31,845.000000
0.963167	0.2	-32,620.000000
0.966500	0.2	-33,297.000000
0.969833	0.2	-33,892.000000
0.973167	0.2	-34,417.000000
0.976500	0.2	-34,882.000000
0.979833	0.2	-35,296.000000
0.983167	0.2	-35,664.000000
0.986500	0.2	-35,991.000000
0.989833	0.2	-36,277.000000
0.993167	0.2	-36,520.000000
0.996500	0.2	-36,718.000000
0.999833	0.2	-36,878.000000
1.003167	0.2	-37,010.000000
1.006500	0.2	-37,124.000000
1.009833	0.2	-37,226.000000
1.013167	0.2	-37,316.000000
1.016500	0.2	-37,394.000000
1.019833	0.2	-37,461.000000
1.023167	0.2	-37,517.000000
1.026500	0.2	-37,564.000000
1.029833	0.2	-37,601.000000
1.033167	0.2	-37,633.000000
1.036500	0.2	-37,670.000000
1.039833	0.2	-37,713.000000
1.043167	0.2	-37,766.000000
1.046500	0.2	-37,824.000000
1.049833	0.2	-37,886.000000
1.053167	0.2	-37,942.000000
1.056500	0.2	-37,989.000000
1.059833	0.2	-38,028.000000
1.063167	0.2	-38,062.000000
1.066500	0.2	-38,091.000000
1.069833	0.2	-38,116.000000
1.073167	0.2	-38,135.000000
1.076500	0.2	-38,150.000000
1.079833	0.2	-38,157.000000
1.083167	0.2	-38,157.000000
1.086500	0.2	-38,150.000000
1.089833	0.2	-38,140.000000
1.093167	0.2	-38,137.000000
1.096500	0.2	-38,146.000000
1.099833	0.2	-38,171.000000
1.103167	0.2	-38,208.000000
1.106500	0.2	-38,251.000000
1.109833	0.2	-38,293.000000
1.113167	0.2	-38,324.000000
1.116500	0.2	-38,339.000000
1.119833	0.2	-38,344.000000
1.123167	0.2	-38,340.000000
1.126500	0.2	-38,328.000000
1.129833	0.2	-38,312.000000
1.133167	0.2	-38,296.000000
1.136500	0.2	-38,286.000000
1.139833	0.2	-38,286.000000
1.143167	0.2	-38,299.000000
1.146500	0.2	-38,318.000000
1.149833	0.2	-38,338.000000
1.153167	0.2	-38,359.000000
1.156500	0.2	-38,380.000000
1.159833	0.2	-38,403.000000
1.163167	0.2	-38,423.000000
1.166500	0.2	-38,439.000000
1.169833	0.2	-38,453.000000
1.173167	0.2	-38,469.000000
1.176500	0.2	-38,490.000000
1.179833	0.2	-38,514.000000
1.183167	0.2	-38,538.000000
1.186500	0.2	-38,567.000000
1.189833	0.2	-38,606.000000
1.193167	0.2	-38,656.000000
1.196500	0.2	-38,712.000000
1.199833	0.2	-38,770.000000
1.203167	0.2	-38,824.000000
1.206500	0.2	-38,869.000000
1.209833	0.2	-38,903.000000
1.213167	0.2	-38,922.000000
1.216500	0.2	-38,921.000000
1.219833	0.2	-38,903.000000
1.223167	0.2	-38,876.000000
1.226500	0.2	-38,845.000000
1.229833	0.2	-38,821.000000
1.233167	0.2	-38,814.000000
1.236500	0.2	-38,825.000000
1.239833	0.2	-38,854.000000
1.243167	0.2	-38,897.000000
1.246500	0.2	-38,949.000000
1.249833	0.2	-39,003.000000
1.253167	0.2	-39,055.000000
1.256500	0.2	-39,105.000000
1.259833	0.2	-39,155.000000
1.263167	0.2	-39,205.000000
1.266500	0.2	-39,257.000000
1.269833	0.2	-39,307.000000
1.273167	0.2	-39,347.000000
1.276500	0.2	-39,375.000000
1.279833	0.2	-39,394.000000
1.283167	0.2	-39,407.000000
1.286500	0.2	-39,420.000000
1.289833	0.2	-39,435.000000
1.293167	0.2	-39,456.000000
1.296500	0.2	-39,479.000000
1.299833	0.2	-39,501.000000
1.303167	0.2	-39,520.000000
1.306500	0.2	-39,539.000000
1.309833	0.2	-39,558.000000
1.313167	0.2	-39,581.000000
1.316500	0.2	-39,606.000000
1.319833	0.2	-39,631.000000
1.323167	0.2	-39,657.000000
1.326500	0.2	-39,678.000000
1.329833	0.2	-39,690.000000
1.333167	0.2	-39,693.000000
1.336500	0.2	-39,686.000000
1.339833	0.2	-39,675.000000
1.343167	0.2	-39,662.000000
1.346500	0.2	-39,654.000000
1.349833	0.2	-39,656.000000
1.353167	0.2	-39,674.000000
1.356500	0.2	-39,709.000000
1.359833	0.2	-39,758.000000
1.363167	0.2	-39,818.000000
1.366500	0.2	-39,883.000000
1.369833	0.2	-39,943.000000
1.373167	0.2	-39,994.000000
1.376500	0.2	-40,030.000000
1.379833	0.2	-40,053.000000
1.383167	0.2	-40,064.000000
1.386500	0.2	-40,065.000000
1.389833	0.2	-40,060.000000
1.393167	0.2	-40,052.000000
1.396500	0.2	-40,039.000000
1.399833	0.2	-40,017.000000
1.403167	0.2	-39,985.000000
1.406500	0.2	-39,947.000000
1.409833	0.2	-39,915.000000
1.413167	0.2	-39,899.000000
1.416500	0.2	-39,899.000000
1.419833	0.2	-39,916.000000
1.423167	0.2	-39,942.000000
1.426500	0.2	-39,970.000000
1.429833	0.2	-39,994.000000
1.433167	0.2	-40,008.000000
1.436500	0.2	-40,014.000000
1.439833	0.2	-40,017.000000
1.443167	0.2	-40,018.000000
1.446500	0.2	-40,017.000000
1.449833	0.2	-40,013.000000
1.453167	0.2	-40,008.000000
1.456500	0.2	-40,003.000000
1.459833	0.2	-39,997.000000
1.463167	0.2	-39,994.000000
1.466500	0.2	-39,995.000000
1.469833	0.2	-40,003.000000
1.473167	0.2	-40,022.000000
1.476500	0.2	-40,050.000000
1.479833	0.2	-40,084.000000
1.483167	0.2	-40,118.000000
1.486500	0.2	-40,148.000000
1.489833	0.2	-40,169.000000
1.493167	0.2	-40,181.000000
1.496500	0.2	-40,184.000000
1.499833	0.2	-40,176.000000
1.503167	0.2	-40,161.000000
1.506500	0.2	-40,145.000000
1.509833	0.2	-40,135.000000
1.513167	0.2	-40,127.000000
1.516500	0.2	-40,122.000000
1.519833	0.2	-40,121.000000
1.523167	0.2	-40,127.000000
1.526500	0.2	-40,141.000000
1.529833	0.2	-40,161.000000
1.533167	0.2	-40,189.000000
1.536500	0.2	-40,218.000000
1.539833	0.2	-40,245.000000
1.543167	0.2	-40,264.000000
1.546500	0.2	-40,274.000000
1.549833	0.2	-40,275.000000
1.553167	0.2	-40,274.000000
1.556500	0.2	-40,274.000000
1.559833	0.2	-40,281.000000
1.563167	0.2	-40,293.000000
1.566500	0.2	-40,308.000000
1.569833	0.2	-40,320.000000
1.573167	0.2	-40,327.000000
1.576500	0.2	-40,327.000000
1.579833	0.2	-40,321.000000
1.583167	0.2	-40,310.000000
1.586500	0.2	-40,297.000000
1.589833	0.2	-40,283.000000
1.593167	0.2	-40,271.000000
1.596500	0.2	-40,266.000000
1.599833	0.2	-40,269.000000
1.603167	0.2	-40,277.000000
1.606500	0.2	-40,288.000000
1.609833	0.2	-40,297.000000
1.613167	0.2	-40,301.000000
1.616500	0.2	-40,297.000000
1.619833	0.2	-40,290.000000
1.623167	0.2	-40,283.000000
1.626500	0.2	-40,275.000000
1.629833	0.2	-40,269.000000
1.633167	0.2	-40,267.000000
1.636500	0.2	-40,270.000000
1.639833	0.2	-40,275.000000
1.643167	0.2	-40,284.000000
1.646500	0.2	-40,298.000000
1.649833	0.2	-40,317.000000
1.653167	0.2	-40,345.000000
1.656500	0.2	-40,379.000000
1.659833	0.2	-40,412.000000
1.663167	0.2	-40,438.000000
1.666500	0.2	-40,452.000000
1.669833	0.2	-40,459.000000
1.673167	0.2	-40,460.000000
1.676500	0.2	-40,457.000000
1.679833	0.2	-40,452.000000
1.683167	0.2	-40,445.000000
1.686500	0.2	-40,440.000000
1.689833	0.2	-40,437.000000
1.693167	0.2	-40,436.000000
1.696500	0.2	-40,435.000000
1.699833	0.2	-40,431.000000
1.703167	0.2	-40,423.000000
1.706500	0.2	-40,418.000000
1.709833	0.2	-40,418.000000
1.713167	0.2	-40,421.000000
1.716500	0.2	-40,423.000000
1.719833	0.2	-40,417.000000
1.723167	0.2	-40,398.000000
1.726500	0.2	-40,367.000000
1.729833	0.2	-40,334.000000
1.733167	0.2	-40,313.000000
1.736500	0.2	-40,317.000000
1.739833	0.2	-40,353.000000
1.743167	0.2	-40,412.000000
1.746500	0.2	-40,483.000000
1.749833	0.2	-40,553.000000
1.753167	0.2	-40,615.000000
1.756500	0.2	-40,669.000000
1.759833	0.2	-40,712.000000
1.763167	0.2	-40,743.000000
1.766500	0.2	-40,757.000000
1.769833	0.2	-40,753.000000
1.773167	0.2	-40,729.000000
1.776500	0.2	-40,692.000000
1.779833	0.2	-40,649.000000
1.783167	0.2	-40,610.000000
1.786500	0.2	-40,578.000000
1.789833	0.2	-40,555.000000
1.793167	0.2	-40,540.000000
1.796500	0.2	-40,532.000000
1.799833	0.2	-40,527.000000
1.803167	0.2	-40,524.000000
1.806500	0.2	-40,524.000000
1.809833	0.2	-40,531.000000
1.813167	0.2	-40,546.000000
1.816500	0.2	-40,565.000000
1.819833	0.2	-40,582.000000
1.823167	0.2	-40,595.000000
1.826500	0.2	-40,602.000000
1.829833	0.2	-40,605.000000
1.833167	0.2	-40,604.000000
1.836500	0.2	-40,600.000000
1.839833	0.2	-40,594.000000
1.843167	0.2	-40,587.000000
1.846500	0.2	-40,579.000000
1.849833	0.2	-40,573.000000
1.853167	0.2	-40,575.000000
1.856500	0.2	-40,586.000000
1.859833	0.2	-40,604.000000
1.863167	0.2	-40,627.000000
1.866500	0.2	-40,652.000000
1.869833	0.2	-40,676.000000
1.873167	0.2	-40,695.000000
1.876500	0.2	-40,707.000000
1.879833	0.2	-40,710.000000
1.883167	0.2	-40,704.000000
1.886500	0.2	-40,690.000000
1.889833	0.2	-40,669.000000
1.893167	0.2	-40,643.000000
1.896500	0.2	-40,617.000000
1.899833	0.2	-40,601.000000
1.903167	0.2	-40,594.000000
1.906500	0.2	-40,593.000000
1.909833	0.2	-40,592.000000
1.913167	0.2	-40,586.000000
1.916500	0.2	-40,572.000000
1.919833	0.2	-40,553.000000
1.923167	0.2	-40,529.000000
1.926500	0.2	-40,504.000000
1.929833	0.2	-40,481.000000
1.933167	0.2	-40,462.000000
1.936500	0.2	-40,448.000000
1.939833	0.2	-40,440.000000
1.943167	0.2	-40,436.000000
1.946500	0.2	-40,441.000000
1.949833	0.2	-40,458.000000
1.953167	0.2	-40,486.000000
1.956500	0.2	-40,524.000000
1.959833	0.2	-40,572.000000
1.963167	0.2	-40,622.000000
1.966500	0.2	-40,670.000000
1.969833	0.2	-40,710.000000
1.973167	0.2	-40,742.000000
1.976500	0.2	-40,766.000000
1.979833	0.2	-40,782.000000
1.983167	0.2	-40,789.000000
1.986500	0.2	-40,789.000000
1.989833	0.2	-40,783.000000
1.993167	0.2	-40,769.000000
1.996500	0.2	-40,752.000000
1.999833	0.2	-40,741.000000
2.003167	0.2	-40,737.000000
2.006500	0.2	-40,737.000000
2.009833	0.2	-40,740.000000
2.013167	0.2	-40,745.000000
2.016500	0.2	-40,752.000000
2.019833	0.2	-40,754.000000
2.023167	0.2	-40,749.000000
2.026500	0.2	-40,739.000000
2.029833	0.2	-40,730.000000
2.033167	0.2	-40,719.000000
2.036500	0.2	-40,705.000000
2.039833	0.2	-40,693.000000
2.043167	0.2	-40,687.000000
2.046500	0.2	-40,691.000000
2.049833	0.2	-40,706.000000
2.053167	0.2	-40,727.000000
2.056500	0.2	-40,750.000000
2.059833	0.2	-40,766.000000
2.063167	0.2	-40,768.000000
2.066500	0.2	-40,756.000000
2.069833	0.2	-40,730.000000
2.073167	0.2	-40,692.000000
2.076500	0.2	-40,649.000000
2.079833	0.2	-40,609.000000
2.083167	0.2	-40,577.000000
2.086500	0.2	-40,554.000000
2.089833	0.2	-40,537.000000
2.093167	0.2	-40,522.000000
2.096500	0.2	-40,508.000000
2.099833	0.2	-40,493.000000
2.103167	0.2	-40,476.000000
2.106500	0.2	-40,454.000000
2.109833	0.2	-40,425.000000
2.113167	0.2	-40,391.000000
2.116500	0.2	-40,355.000000
2.119833	0.2	-40,320.000000
2.123167	0.2	-40,291.000000
2.126500	0.2	-40,276.000000
2.129833	0.2	-40,277.000000
2.133167	0.2	-40,294.000000
2.136500	0.2	-40,325.000000
2.139833	0.2	-40,369.000000
2.143167	0.2	-40,422.000000
2.146500	0.2	-40,484.000000
2.149833	0.2	-40,549.000000
2.153167	0.2	-40,611.000000
2.156500	0.2	-40,666.000000
2.159833	0.2	-40,710.000000
2.163167	0.2	-40,743.000000
2.166500	0.2	-40,764.000000
2.169833	0.2	-40,773.000000
2.173167	0.2	-40,770.000000
2.176500	0.2	-40,758.000000
2.179833	0.2	-40,742.000000
2.183167	0.2	-40,723.000000
2.186500	0.2	-40,702.000000
2.189833	0.2	-40,677.000000
2.193167	0.2	-40,647.000000
2.196500	0.2	-40,616.000000
2.199833	0.2	-40,584.000000
2.203167	0.2	-40,556.000000
2.206500	0.2	-40,534.000000
2.209833	0.2	-40,523.000000
2.213167	0.2	-40,526.000000
2.216500	0.2	-40,542.000000
2.219833	0.2	-40,569.000000
2.223167	0.2	-40,599.000000
2.226500	0.2	-40,624.000000
2.229833	0.2	-40,639.000000
2.233167	0.2	-40,639.000000
2.236500	0.2	-40,623.000000
2.239833	0.2	-40,594.000000
2.243167	0.2	-40,558.000000
2.246500	0.2	-40,518.000000
2.249833	0.2	-40,481.000000
2.253167	0.2	-40,453.000000
2.256500	0.2	-40,439.000000
2.259833	0.2	-40,440.000000
2.263167	0.2	-40,453.000000
2.266500	0.2	-40,471.000000
2.269833	0.2	-40,492.000000
2.273167	0.2	-40,513.000000
2.276500	0.2	-40,529.000000
2.279833	0.2	-40,540.000000
2.283167	0.2	-40,546.000000
2.286500	0.2	-40,550.000000
2.289833	0.2	-40,553.000000
2.293167	0.2	-40,554.000000
2.296500	0.2	-40,552.000000
2.299833	0.2	-40,544.000000
2.303167	0.2	-40,530.000000
2.306500	0.2	-40,513.000000
2.309833	0.2	-40,498.000000
2.313167	0.2	-40,487.000000
2.316500	0.2	-40,480.000000
2.319833	0.2	-40,475.000000
2.323167	0.2	-40,476.000000
2.326500	0.2	-40,481.000000
2.329833	0.2	-40,486.000000
2.333167	0.2	-40,486.000000
2.336500	0.2	-40,481.000000
2.339833	0.2	-40,476.000000
2.343167	0.2	-40,473.000000
2.346500	0.2	-40,470.000000
2.349833	0.2	-40,465.000000
2.353167	0.2	-40,455.000000
2.356500	0.2	-40,442.000000
2.359833	0.2	-40,431.000000
2.363167	0.2	-40,425.000000
2.366500	0.2	-40,421.000000
2.369833	0.2	-40,419.000000
2.373167	0.2	-40,416.000000
2.376500	0.2	-40,410.000000
2.379833	0.2	-40,402.000000
2.383167	0.2	-40,397.000000
2.386500	0.2	-40,397.000000
2.389833	0.2	-40,403.000000
2.393167	0.2	-40,410.000000
2.396500	0.2	-40,419.000000
2.399833	0.2	-40,433.000000
2.403167	0.2	-40,452.000000
2.406500	0.2	-40,477.000000
2.409833	0.2	-40,504.000000
2.413167	0.2	-40,532.000000
2.416500	0.2	-40,562.000000
2.419833	0.2	-40,593.000000
2.423167	0.2	-40,622.000000
2.426500	0.2	-40,644.000000
2.429833	0.2	-40,655.000000
2.433167	0.2	-40,655.000000
2.436500	0.2	-40,639.000000
2.439833	0.2	-40,603.000000
2.443167	0.2	-40,549.000000
2.446500	0.2	-40,482.000000
2.449833	0.2	-40,414.000000
2.453167	0.2	-40,350.000000
2.456500	0.2	-40,300.000000
2.459833	0.2	-40,263.000000
2.463167	0.2	-40,236.000000
2.466500	0.2	-40,216.000000
2.469833	0.2	-40,199.000000
2.473167	0.2	-40,181.000000
2.476500	0.2	-40,159.000000
2.479833	0.2	-40,134.000000
2.483167	0.2	-40,108.000000
2.486500	0.2	-40,087.000000
2.489833	0.2	-40,076.000000
2.493167	0.2	-40,078.000000
2.496500	0.2	-40,092.000000
2.499833	0.2	-40,113.000000
2.503167	0.2	-40,136.000000
2.506500	0.2	-40,161.000000
2.509833	0.2	-40,188.000000
2.513167	0.2	-40,213.000000
2.516500	0.2	-40,236.000000
2.519833	0.2	-40,259.000000
2.523167	0.2	-40,275.000000
2.526500	0.2	-40,284.000000
2.529833	0.2	-40,292.000000
2.533167	0.2	-40,300.000000
2.536500	0.2	-40,311.000000
2.539833	0.2	-40,324.000000
2.543167	0.2	-40,337.000000
2.546500	0.2	-40,347.000000
2.549833	0.2	-40,346.000000
2.553167	0.2	-40,334.000000
2.556500	0.2	-40,315.000000
2.559833	0.2	-40,297.000000
2.563167	0.2	-40,287.000000
2.566500	0.2	-40,287.000000
2.569833	0.2	-40,293.000000
2.573167	0.2	-40,297.000000
2.576500	0.2	-40,290.000000
2.579833	0.2	-40,270.000000
2.583167	0.2	-40,244.000000
2.586500	0.2	-40,218.000000
2.589833	0.2	-40,196.000000
2.593167	0.2	-40,179.000000
2.596500	0.2	-40,172.000000
2.599833	0.2	-40,172.000000
2.603167	0.2	-40,178.000000
2.606500	0.2	-40,185.000000
2.609833	0.2	-40,189.000000
2.613167	0.2	-40,187.000000
2.616500	0.2	-40,179.000000
2.619833	0.2	-40,169.000000
2.623167	0.2	-40,158.000000
2.626500	0.2	-40,144.000000
2.629833	0.2	-40,131.000000
2.633167	0.2	-40,121.000000
2.636500	0.2	-40,109.000000
2.639833	0.2	-40,097.000000
2.643167	0.2	-40,084.000000
