URL	chrom://farber-hplc/test001/Josh/Feeding_exps/3.29.23 Labeled Yeast timecourse.seq/651.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.29.23 Labeled Yeast timecourse
Name	C865 poop sample 3
Number	10
Position	RB2
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/30/2023 10:59:47 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500583
Data Points	63843
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.074971
Signal Max.	64.602910
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.128
Average Step (s)	0.10103122

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.014798
0.001667	0.1	-0.018088
0.003333	0.1	-0.017897
0.005017	0.101	-0.018652
0.006667	0.099	-0.026251
0.008333	0.1	-0.031067
0.010000	0.1	-0.026681
0.011667	0.1	-0.017259
0.013333	0.1	-0.006336
0.015000	0.1	0.004242
0.016667	0.1	0.011194
0.018333	0.1	0.010824
0.020000	0.1	0.001810
0.021667	0.1	-0.008983
0.023333	0.1	-0.015365
0.025000	0.1	-0.018617
0.026667	0.1	-0.021571
0.028333	0.1	-0.026252
0.030000	0.1	-0.035443
0.032050	0.123	-0.046873
0.033667	0.097	-0.058281
0.035333	0.1	-0.066989
0.037000	0.1	-0.069993
0.038667	0.1	-0.063658
0.040333	0.1	-0.050522
0.042033	0.102	-0.035353
0.043700	0.1	-0.020680
0.045367	0.1	-0.007885
0.047033	0.1	0.001746
0.048700	0.1	0.006891
0.050367	0.1	0.004606
0.052033	0.1	-0.003654
0.053700	0.1	-0.015261
0.055367	0.1	-0.027386
0.057033	0.1	-0.033639
0.058700	0.1	-0.030885
0.060367	0.1	-0.022230
0.062033	0.1	-0.013831
0.063700	0.1	-0.009013
0.065733	0.122	-0.007189
0.067383	0.099	-0.007314
0.069050	0.1	-0.009024
0.070700	0.099	-0.011851
0.072383	0.101	-0.018776
0.074033	0.099	-0.031681
0.075717	0.101	-0.045757
0.077367	0.099	-0.054853
0.079050	0.101	-0.059180
0.080700	0.099	-0.063943
0.082383	0.101	-0.071908
0.084033	0.099	-0.074971
0.085717	0.101	-0.067445
0.087367	0.099	-0.050826
0.089050	0.101	-0.033209
0.090700	0.099	-0.022033
0.092367	0.1	-0.020314
0.094017	0.099	-0.025775
0.095700	0.101	-0.028275
0.097350	0.099	-0.022634
0.099350	0.12	-0.014059
0.101017	0.1	-0.009507
0.102700	0.101	-0.011686
0.104367	0.1	-0.016333
0.106017	0.099	-0.018712
0.107683	0.1	-0.018919
0.109333	0.099	-0.017715
0.111000	0.1	-0.015823
0.112667	0.1	-0.013521
0.114333	0.1	-0.011703
0.116000	0.1	-0.011290
0.117667	0.1	-0.010350
0.119333	0.1	-0.010233
0.121000	0.1	-0.017105
0.122667	0.1	-0.028514
0.124333	0.1	-0.033262
0.126000	0.1	-0.027172
0.127667	0.1	-0.015903
0.129333	0.1	-0.006511
0.131000	0.1	-0.002314
0.133000	0.12	-0.002961
0.134700	0.102	-0.006689
0.136367	0.1	-0.011799
0.138067	0.102	-0.016242
0.139783	0.103	-0.021029
0.141450	0.1	-0.023297
0.143117	0.1	-0.022999
0.144783	0.1	-0.023805
0.146483	0.102	-0.026080
0.148117	0.098	-0.026825
0.149783	0.1	-0.025128
0.151450	0.1	-0.022202
0.153117	0.1	-0.016361
0.154783	0.1	-0.006788
0.156450	0.1	0.001149
0.158117	0.1	0.003699
0.159783	0.1	0.003812
0.161450	0.1	0.005040
0.163117	0.1	0.008017
0.165133	0.121	0.008271
0.166783	0.099	0.001815
0.168450	0.1	-0.007214
0.170117	0.1	-0.012242
0.171783	0.1	-0.014718
0.173450	0.1	-0.015129
0.175100	0.099	-0.014242
0.176767	0.1	-0.017442
0.178433	0.1	-0.028476
0.180100	0.1	-0.042538
0.181783	0.101	-0.050751
0.183433	0.099	-0.048078
0.185100	0.1	-0.038038
0.186767	0.1	-0.026813
0.188433	0.1	-0.018858
0.190100	0.1	-0.014644
0.191750	0.099	-0.010660
0.193417	0.1	-0.004022
0.195083	0.1	0.002628
0.196750	0.1	0.005187
0.198750	0.12	0.000214
0.200417	0.1	-0.009822
0.202083	0.1	-0.017340
0.203783	0.102	-0.018189
0.205467	0.101	-0.014079
0.207083	0.097	-0.010083
0.208750	0.1	-0.013776
0.210417	0.1	-0.022661
0.212083	0.1	-0.026849
0.213750	0.1	-0.026624
0.215417	0.1	-0.023616
0.217083	0.1	-0.015992
0.218750	0.1	-0.008220
0.220417	0.1	-0.005304
0.222083	0.1	-0.007878
0.223750	0.1	-0.011085
0.225417	0.1	-0.010252
0.227083	0.1	-0.009047
0.228750	0.1	-0.010207
0.230417	0.1	-0.010910
0.232533	0.127	-0.008776
0.234233	0.102	-0.006040
0.235867	0.098	-0.005850
0.237533	0.1	-0.009009
0.239200	0.1	-0.015730
0.240900	0.102	-0.022472
0.242583	0.101	-0.026888
0.244250	0.1	-0.029709
0.245917	0.1	-0.030029
0.247583	0.1	-0.024860
0.249283	0.102	-0.015295
0.250917	0.098	-0.007942
0.252583	0.1	-0.003464
0.254250	0.1	0.000965
0.255917	0.1	0.000928
0.257583	0.1	-0.006577
0.259250	0.1	-0.017261
0.260917	0.1	-0.023027
0.262583	0.1	-0.017903
0.264250	0.1	-0.005866
0.266250	0.12	0.005772
0.267917	0.1	0.012529
0.269650	0.104	0.011235
0.271250	0.096	0.004876
0.272917	0.1	-0.000678
0.274583	0.1	-0.004641
0.276250	0.1	-0.008211
0.277917	0.1	-0.010699
0.279583	0.1	-0.009833
0.281250	0.1	-0.006720
0.282917	0.1	-0.004740
0.284583	0.1	-0.007709
0.286250	0.1	-0.018166
0.287917	0.1	-0.033044
0.289583	0.1	-0.044774
0.291250	0.1	-0.046300
0.292917	0.1	-0.035518
0.294583	0.1	-0.019201
0.296250	0.1	-0.005532
0.297917	0.1	0.001694
0.300000	0.125	0.001162
0.301667	0.1	-0.005543
0.303333	0.1	-0.013467
0.305000	0.1	-0.019029
0.306667	0.1	-0.019799
0.308333	0.1	-0.014688
0.310000	0.1	-0.007240
0.311667	0.1	-0.003544
0.313333	0.1	-0.003251
0.315000	0.1	-0.000942
0.316667	0.1	0.002908
0.318333	0.1	0.002914
0.320000	0.1	-0.000885
0.321667	0.1	-0.001647
0.323333	0.1	0.001275
0.325000	0.1	0.002791
0.326667	0.1	-0.000044
0.328333	0.1	-0.004785
0.330000	0.1	-0.013457
0.332000	0.12	-0.025225
0.333667	0.1	-0.029539
0.335333	0.1	-0.022482
0.337033	0.102	-0.011569
0.338717	0.101	-0.002674
0.340333	0.097	0.003558
0.342000	0.1	0.006249
0.343667	0.1	0.003078
0.345333	0.1	-0.002807
0.347000	0.1	-0.003624
0.348667	0.1	0.000428
0.350333	0.1	0.006741
0.352000	0.1	0.013447
0.353667	0.1	0.017719
0.355333	0.1	0.015833
0.357000	0.1	0.008291
0.358667	0.1	-0.001461
0.360333	0.1	-0.008167
0.362000	0.1	-0.008744
0.363667	0.1	-0.003830
0.365667	0.12	0.002523
0.367333	0.1	0.005555
0.369000	0.1	0.002019
0.370667	0.1	-0.006605
0.372333	0.1	-0.018447
0.374000	0.1	-0.027635
0.375667	0.1	-0.027517
0.377333	0.1	-0.021214
0.379000	0.1	-0.015205
0.380667	0.1	-0.012806
0.382333	0.1	-0.015123
0.384000	0.1	-0.016341
0.385667	0.1	-0.014559
0.387333	0.1	-0.014341
0.389000	0.1	-0.015566
0.390667	0.1	-0.015653
0.392333	0.1	-0.011641
0.394000	0.1	-0.000936
0.395667	0.1	0.012488
0.397333	0.1	0.021143
0.399333	0.12	0.023710
0.401000	0.1	0.022611
0.402667	0.1	0.019058
0.404333	0.1	0.012212
0.406000	0.1	0.004150
0.407667	0.1	-0.000692
0.409333	0.1	-0.002206
0.411000	0.1	-0.005421
0.412667	0.1	-0.012670
0.414333	0.1	-0.016116
0.416000	0.1	-0.014118
0.417667	0.1	-0.009583
0.419333	0.1	-0.003250
0.421000	0.1	0.004218
0.422667	0.1	0.008749
0.424333	0.1	0.004523
0.426000	0.1	-0.008297
0.427667	0.1	-0.019976
0.429333	0.1	-0.021917
0.431000	0.1	-0.014282
0.433000	0.12	-0.004616
0.434667	0.1	-0.001429
0.436333	0.1	-0.005234
0.438000	0.1	-0.011845
0.439667	0.1	-0.015045
0.441333	0.1	-0.014003
0.443000	0.1	-0.015599
0.444667	0.1	-0.020162
0.446333	0.1	-0.024023
0.448000	0.1	-0.026492
0.449667	0.1	-0.031088
0.451333	0.1	-0.038378
0.453000	0.1	-0.043130
0.454667	0.1	-0.047237
0.456333	0.1	-0.051128
0.458000	0.1	-0.050150
0.459667	0.1	-0.045481
0.461333	0.1	-0.039587
0.463000	0.1	-0.033181
0.464667	0.1	-0.028362
0.466700	0.122	-0.026321
0.468367	0.1	-0.026123
0.470033	0.1	-0.024198
0.471667	0.098	-0.018190
0.473333	0.1	-0.010285
0.475000	0.1	-0.004495
0.476667	0.1	0.000330
0.478333	0.1	0.002724
0.480000	0.1	0.005381
0.481667	0.1	0.010597
0.483333	0.1	0.014687
0.485000	0.1	0.015162
0.486667	0.1	0.013034
0.488333	0.1	0.009315
0.490000	0.1	0.006854
0.491667	0.1	0.008592
0.493333	0.1	0.009774
0.495000	0.1	0.008689
0.496667	0.1	0.007992
0.498700	0.122	0.007973
0.500333	0.098	0.007132
0.502000	0.1	0.006113
0.503667	0.1	0.006262
0.505333	0.1	0.008120
0.507000	0.1	0.008188
0.508667	0.1	0.002785
0.510333	0.1	-0.004869
0.512000	0.1	-0.013766
0.513667	0.1	-0.021687
0.515333	0.1	-0.022835
0.517000	0.1	-0.017205
0.518667	0.1	-0.012253
0.520333	0.1	-0.011907
0.522000	0.1	-0.010730
0.523667	0.1	-0.007351
0.525333	0.1	-0.004532
0.527000	0.1	-0.003164
0.528667	0.1	-0.005168
0.530333	0.1	-0.006493
0.532350	0.121	-0.001344
0.534000	0.099	0.005435
0.535667	0.1	0.009498
0.537333	0.1	0.010460
0.539000	0.1	0.009280
0.540667	0.1	0.005356
0.542333	0.1	-0.000856
0.544000	0.1	-0.004074
0.545667	0.1	-0.005611
0.547333	0.1	-0.014995
0.549000	0.1	-0.029422
0.550667	0.1	-0.038515
0.552333	0.1	-0.036493
0.554000	0.1	-0.026290
0.555667	0.1	-0.016751
0.557333	0.1	-0.012179
0.559000	0.1	-0.013712
0.560667	0.1	-0.020733
0.562333	0.1	-0.027750
0.564000	0.1	-0.030921
0.566033	0.122	-0.029747
0.567667	0.098	-0.025866
0.569367	0.102	-0.019414
0.571000	0.098	-0.012720
0.572667	0.1	-0.008480
0.574333	0.1	-0.006560
0.576000	0.1	-0.005840
0.577667	0.1	-0.007296
0.579333	0.1	-0.013517
0.581000	0.1	-0.022896
0.582667	0.1	-0.033210
0.584333	0.1	-0.040966
0.586000	0.1	-0.043767
0.587667	0.1	-0.039023
0.589333	0.1	-0.029790
0.591000	0.1	-0.021122
0.592667	0.1	-0.014855
0.594333	0.1	-0.012862
0.596000	0.1	-0.018669
0.597667	0.1	-0.026013
0.599667	0.12	-0.029487
0.601333	0.1	-0.027535
0.603000	0.1	-0.021114
0.604733	0.104	-0.015536
0.606333	0.096	-0.013960
0.608000	0.1	-0.015315
0.609700	0.102	-0.018217
0.611367	0.1	-0.026451
0.613033	0.1	-0.036966
0.614700	0.1	-0.039078
0.616367	0.1	-0.030523
0.618033	0.1	-0.018770
0.619700	0.1	-0.010415
0.621367	0.1	-0.004908
0.623033	0.1	0.000132
0.624700	0.1	0.007218
0.626367	0.1	0.014842
0.628033	0.1	0.016252
0.629700	0.1	0.009041
0.631367	0.1	-0.002816
0.633367	0.12	-0.014281
0.635033	0.1	-0.018723
0.636733	0.102	-0.014151
0.638367	0.098	-0.005715
0.640033	0.1	0.000543
0.641700	0.1	0.002704
0.643367	0.1	0.002844
0.645067	0.102	0.002691
0.646700	0.098	0.001315
0.648367	0.1	0.000931
0.650033	0.1	0.001713
0.651700	0.1	0.001708
0.653367	0.1	0.000633
0.655033	0.1	-0.002335
0.656700	0.1	-0.004607
0.658350	0.099	-0.002826
0.660017	0.1	0.001955
0.661683	0.1	0.009409
0.663350	0.1	0.020492
0.665017	0.1	0.038602
0.667083	0.124	0.073604
0.668750	0.1	0.160408
0.670433	0.101	0.350988
0.672083	0.099	0.695088
0.673750	0.1	1.241765
0.675417	0.1	2.030199
0.677083	0.1	3.083643
0.678750	0.1	4.396887
0.680417	0.1	5.967880
0.682083	0.1	7.733592
0.683750	0.1	9.596366
0.685417	0.1	11.463020
0.687083	0.1	13.379350
0.688750	0.1	15.444760
0.690417	0.1	17.658310
0.692117	0.102	19.922810
0.693783	0.1	22.100100
0.695450	0.1	24.077760
0.697117	0.1	25.874010
0.699117	0.12	27.613250
0.700783	0.1	29.344840
0.702483	0.102	30.841080
0.704117	0.098	32.056940
0.705783	0.1	33.309990
0.707450	0.1	34.666570
0.709117	0.1	36.168630
0.710783	0.1	37.803700
0.712450	0.1	39.439830
0.714117	0.1	40.875670
0.715783	0.1	41.957930
0.717450	0.1	42.579330
0.719117	0.1	43.131040
0.720783	0.1	43.998710
0.722450	0.1	45.234900
0.724117	0.1	46.577390
0.725783	0.1	47.540260
0.727450	0.1	48.089850
0.729117	0.1	48.580270
0.730783	0.1	49.555050
0.732783	0.12	50.854230
0.734450	0.1	52.011280
0.736150	0.102	53.025660
0.737783	0.098	53.912000
0.739450	0.1	54.722410
0.741117	0.1	55.167590
0.742767	0.099	55.290750
0.744433	0.1	55.495060
0.746100	0.1	55.821780
0.747767	0.1	55.889400
0.749433	0.1	55.549480
0.751100	0.1	54.967940
0.752767	0.1	54.481660
0.754433	0.1	54.122850
0.756100	0.1	53.825100
0.757767	0.1	53.362480
0.759417	0.099	52.665490
0.761083	0.1	51.844090
0.762750	0.1	51.096540
0.764417	0.1	50.539640
0.766450	0.122	50.239240
0.768083	0.098	50.370140
0.769750	0.1	50.940620
0.771450	0.102	51.582900
0.773083	0.098	52.206270
0.774750	0.1	52.980680
0.776417	0.1	53.806060
0.778083	0.1	54.481240
0.779750	0.1	55.081550
0.781417	0.1	55.915690
0.783083	0.1	56.870270
0.784750	0.1	57.847580
0.786417	0.1	58.674890
0.788083	0.1	58.989440
0.789750	0.1	58.969750
0.791417	0.1	59.135150
0.793083	0.1	59.503220
0.794750	0.1	60.179650
0.796417	0.1	61.214140
0.798083	0.1	62.354650
0.800083	0.12	63.399060
0.801750	0.1	64.178480
0.803417	0.1	64.602910
0.805083	0.1	64.142330
0.806750	0.1	63.023940
0.808417	0.1	62.306840
0.810083	0.1	62.299480
0.811750	0.1	62.431010
0.813417	0.1	61.962040
0.815083	0.1	61.229030
0.816750	0.1	61.168520
0.818417	0.1	61.966770
0.820083	0.1	62.881480
0.821750	0.1	63.240720
0.823417	0.1	63.084420
0.825083	0.1	62.757000
0.826750	0.1	62.400120
0.828417	0.1	62.152410
0.830083	0.1	62.085690
0.831750	0.1	62.044520
0.833750	0.12	61.983970
0.835417	0.1	61.646570
0.837100	0.101	61.157180
0.838750	0.099	60.795180
0.840417	0.1	60.611440
0.842083	0.1	60.336190
0.843750	0.1	59.710300
0.845417	0.1	58.983420
0.847083	0.1	58.403710
0.848750	0.1	58.175040
0.850417	0.1	58.274270
0.852083	0.1	58.374910
0.853750	0.1	58.199080
0.855417	0.1	57.887920
0.857083	0.1	57.352040
0.858750	0.1	56.510960
0.860417	0.1	55.605510
0.862083	0.1	55.076700
0.863750	0.1	55.036240
0.865800	0.123	55.228110
0.867450	0.099	55.481930
0.869133	0.101	55.673730
0.870783	0.099	55.511380
0.872450	0.1	54.978010
0.874117	0.1	54.379050
0.875783	0.1	53.880280
0.877450	0.1	53.425450
0.879117	0.1	52.943160
0.880783	0.1	52.535910
0.882483	0.102	52.165220
0.884117	0.098	51.707630
0.885783	0.1	51.056260
0.887450	0.1	50.086870
0.889117	0.1	49.003260
0.890783	0.1	47.850460
0.892450	0.1	46.658770
0.894117	0.1	45.498850
0.895783	0.1	44.631990
0.897450	0.1	44.327370
0.899450	0.12	44.415800
0.901117	0.1	44.470720
0.902800	0.101	44.203250
0.904450	0.099	43.739960
0.906117	0.1	43.241880
0.907783	0.1	42.617930
0.909433	0.099	41.712080
0.911100	0.1	40.586810
0.912767	0.1	39.475100
0.914433	0.1	38.669910
0.916100	0.1	38.264860
0.917800	0.102	38.162760
0.919433	0.098	38.234350
0.921100	0.1	38.367990
0.922767	0.1	38.343650
0.924433	0.1	38.172500
0.926083	0.099	37.945100
0.927750	0.1	37.682470
0.929417	0.1	37.443290
0.931083	0.1	37.256970
0.933083	0.12	37.014170
0.934750	0.1	36.596250
0.936433	0.101	36.007120
0.938083	0.099	35.396130
0.939750	0.1	34.874360
0.941417	0.1	34.540790
0.943083	0.1	34.415290
0.944750	0.1	34.312790
0.946417	0.1	34.182290
0.948083	0.1	33.995690
0.949750	0.1	33.712450
0.951417	0.1	33.354610
0.953083	0.1	32.998100
0.954750	0.1	32.784060
0.956417	0.1	32.735970
0.958100	0.101	32.589800
0.959750	0.099	32.056810
0.961417	0.1	31.218240
0.963083	0.1	30.449080
0.964750	0.1	29.946590
0.966750	0.12	29.714360
0.968433	0.101	29.646090
0.970083	0.099	29.552770
0.971767	0.101	29.343180
0.973417	0.099	29.032180
0.975100	0.101	28.528930
0.976750	0.099	27.804800
0.978417	0.1	27.078930
0.980083	0.1	26.437540
0.981767	0.101	25.931650
0.983417	0.099	25.573070
0.985100	0.101	25.240570
0.986750	0.099	24.819620
0.988433	0.101	24.413210
0.990083	0.099	24.055730
0.991750	0.1	23.596650
0.993417	0.1	22.964380
0.995083	0.1	22.274010
0.996750	0.1	21.635200
0.998433	0.101	21.180480
1.000417	0.119	20.887280
1.002083	0.1	20.578540
1.003750	0.1	20.169200
1.005433	0.101	19.700070
1.007083	0.099	19.259440
1.008750	0.1	18.832920
1.010417	0.1	18.365090
1.012083	0.1	17.771160
1.013750	0.1	17.171560
1.015417	0.1	16.758340
1.017083	0.1	16.536950
1.018750	0.1	16.372310
1.020417	0.1	16.125450
1.022083	0.1	15.754490
1.023750	0.1	15.364700
1.025417	0.1	15.068170
1.027083	0.1	14.852690
1.028750	0.1	14.681390
1.030417	0.1	14.488860
1.032483	0.124	14.250510
1.034117	0.098	13.975640
1.035817	0.102	13.604460
1.037450	0.098	13.139520
1.039133	0.101	12.690350
1.040783	0.099	12.310560
1.042450	0.1	11.989020
1.044117	0.1	11.634640
1.045783	0.1	11.186900
1.047450	0.1	10.744860
1.049150	0.102	10.423980
1.050833	0.101	10.224150
1.052500	0.1	10.073680
1.054167	0.1	9.893121
1.055833	0.1	9.620357
1.057500	0.1	9.274871
1.059167	0.1	8.895833
1.060833	0.1	8.516925
1.062500	0.1	8.151141
1.064167	0.1	7.798158
1.066167	0.12	7.503165
1.067833	0.1	7.248247
1.069533	0.102	6.988704
1.071167	0.098	6.746812
1.072833	0.1	6.547218
1.074500	0.1	6.401011
1.076167	0.1	6.282235
1.077833	0.1	6.124277
1.079500	0.1	5.945450
1.081167	0.1	5.797932
1.082833	0.1	5.693549
1.084500	0.1	5.627371
1.086167	0.1	5.587473
1.087833	0.1	5.552038
1.089500	0.1	5.504188
1.091167	0.1	5.451133
1.092833	0.1	5.389010
1.094500	0.1	5.306202
1.096167	0.1	5.222485
1.097833	0.1	5.170706
1.099833	0.12	5.139570
1.101500	0.1	5.108163
1.103167	0.1	5.071494
1.104833	0.1	5.009013
1.106500	0.1	4.928468
1.108217	0.103	4.871645
1.109867	0.099	4.834394
1.111550	0.101	4.781485
1.113200	0.099	4.706698
1.114883	0.101	4.628718
1.116533	0.099	4.555562
1.118217	0.101	4.491647
1.119867	0.099	4.440944
1.121550	0.101	4.419958
1.123200	0.099	4.407247
1.124883	0.101	4.398342
1.126533	0.099	4.407945
1.128217	0.101	4.420831
1.129867	0.099	4.408602
1.131550	0.101	4.362409
1.133533	0.119	4.305990
1.135200	0.1	4.269667
1.136867	0.1	4.272009
1.138533	0.1	4.292957
1.140200	0.1	4.303563
1.141867	0.1	4.285752
1.143533	0.1	4.225916
1.145200	0.1	4.137835
1.146867	0.1	4.063050
1.148533	0.1	4.006384
1.150200	0.1	3.966747
1.151867	0.1	3.961605
1.153533	0.1	3.984124
1.155200	0.1	3.996685
1.156867	0.1	3.980190
1.158517	0.099	3.956642
1.160183	0.1	3.949624
1.161850	0.1	3.956272
1.163517	0.1	3.971781
1.165183	0.1	3.986754
1.167183	0.12	3.974712
1.168850	0.1	3.935019
1.170533	0.101	3.895673
1.172183	0.099	3.874995
1.173850	0.1	3.854743
1.175500	0.099	3.832338
1.177167	0.1	3.822536
1.178833	0.1	3.809170
1.180500	0.1	3.782534
1.182167	0.1	3.735287
1.183833	0.1	3.673377
1.185500	0.1	3.617435
1.187167	0.1	3.562566
1.188833	0.1	3.516298
1.190500	0.1	3.500307
1.192167	0.1	3.506226
1.193833	0.1	3.498902
1.195500	0.1	3.470106
1.197167	0.1	3.455764
1.198833	0.1	3.482058
1.200833	0.12	3.530074
1.202533	0.102	3.558526
1.204167	0.098	3.550747
1.205833	0.1	3.519450
1.207500	0.1	3.485611
1.209167	0.1	3.462832
1.210833	0.1	3.450405
1.212500	0.1	3.439660
1.214167	0.1	3.423682
1.215850	0.101	3.408533
1.217500	0.099	3.388442
1.219167	0.1	3.355390
1.220833	0.1	3.315270
1.222500	0.1	3.287063
1.224167	0.1	3.273405
1.225833	0.1	3.272901
1.227500	0.1	3.295303
1.229167	0.1	3.336880
1.230833	0.1	3.373288
1.232850	0.121	3.375551
1.234500	0.099	3.341908
1.236167	0.1	3.299849
1.237833	0.1	3.266085
1.239500	0.1	3.239878
1.241167	0.1	3.216988
1.242833	0.1	3.191427
1.244500	0.1	3.171483
1.246167	0.1	3.158923
1.247833	0.1	3.138981
1.249500	0.1	3.104728
1.251167	0.1	3.072583
1.252833	0.1	3.051003
1.254500	0.1	3.037721
1.256167	0.1	3.038022
1.257833	0.1	3.042094
1.259500	0.1	3.041854
1.261167	0.1	3.033437
1.262833	0.1	3.023927
1.264500	0.1	3.016381
1.266500	0.12	3.009981
1.268167	0.1	3.009828
1.269833	0.1	3.022031
1.271500	0.1	3.048996
1.273167	0.1	3.066404
1.274867	0.102	3.048072
1.276533	0.1	3.001730
1.278200	0.1	2.957960
1.279867	0.1	2.933304
1.281533	0.1	2.925877
1.283200	0.1	2.925858
1.284867	0.1	2.924504
1.286533	0.1	2.915042
1.288200	0.1	2.889253
1.289867	0.1	2.850010
1.291533	0.1	2.807308
1.293200	0.1	2.768882
1.294867	0.1	2.754431
1.296533	0.1	2.759867
1.298200	0.1	2.773811
1.300233	0.122	2.783100
1.301900	0.1	2.781707
1.303533	0.098	2.766713
1.305217	0.101	2.734206
1.306867	0.099	2.703573
1.308533	0.1	2.697869
1.310200	0.1	2.713010
1.311867	0.1	2.732086
1.313533	0.1	2.730818
1.315200	0.1	2.710806
1.316867	0.1	2.686743
1.318533	0.1	2.663479
1.320200	0.1	2.653574
1.321867	0.1	2.663755
1.323533	0.1	2.676437
1.325183	0.099	2.677301
1.326850	0.1	2.663486
1.328517	0.1	2.638150
1.330183	0.1	2.594673
1.331850	0.1	2.541069
1.333850	0.12	2.499514
1.335517	0.1	2.481748
1.337183	0.1	2.484204
1.338850	0.1	2.493401
1.340517	0.1	2.486459
1.342167	0.099	2.470867
1.343833	0.1	2.470114
1.345500	0.1	2.477748
1.347167	0.1	2.474088
1.348833	0.1	2.454132
1.350500	0.1	2.428048
1.352167	0.1	2.413017
1.353833	0.1	2.420190
1.355500	0.1	2.447353
1.357167	0.1	2.474239
1.358833	0.1	2.479092
1.360500	0.1	2.463606
1.362167	0.1	2.445986
1.363833	0.1	2.430602
1.365500	0.1	2.415529
1.367500	0.12	2.401817
1.369167	0.1	2.394473
1.370833	0.1	2.400650
1.372500	0.1	2.416635
1.374167	0.1	2.424335
1.375833	0.1	2.416082
1.377500	0.1	2.405437
1.379167	0.1	2.389919
1.380833	0.1	2.361112
1.382517	0.101	2.338016
1.384167	0.099	2.331694
1.385833	0.1	2.332628
1.387500	0.1	2.332827
1.389167	0.1	2.331523
1.390833	0.1	2.322398
1.392500	0.1	2.304996
1.394167	0.1	2.293417
1.395833	0.1	2.288233
1.397500	0.1	2.290738
1.399517	0.121	2.298545
1.401167	0.099	2.305816
1.402850	0.101	2.306092
1.404500	0.099	2.296955
1.406167	0.1	2.261197
1.407833	0.1	2.203436
1.409500	0.1	2.161548
1.411167	0.1	2.153019
1.412833	0.1	2.168296
1.414500	0.1	2.190254
1.416167	0.1	2.203334
1.417933	0.106	2.208178
1.419617	0.101	2.215909
1.421300	0.101	2.222328
1.422950	0.099	2.213702
1.424633	0.101	2.176370
1.426267	0.098	2.128439
1.427950	0.101	2.102128
1.429600	0.099	2.097978
1.431283	0.101	2.099394
1.433267	0.119	2.102808
1.434933	0.1	2.110336
1.436600	0.1	2.125692
1.438267	0.1	2.139657
1.439933	0.1	2.133979
1.441583	0.099	2.116293
1.443250	0.1	2.104435
1.444917	0.1	2.097581
1.446583	0.1	2.088037
1.448250	0.1	2.080770
1.449917	0.1	2.076816
1.451583	0.1	2.075118
1.453250	0.1	2.083684
1.454917	0.1	2.105588
1.456583	0.1	2.122345
1.458267	0.101	2.111332
1.459917	0.099	2.092672
1.461583	0.1	2.091045
1.463250	0.1	2.104569
1.464917	0.1	2.119967
1.466933	0.121	2.123344
1.468617	0.101	2.100863
1.470250	0.098	2.054910
1.471950	0.102	2.005746
1.473583	0.098	1.972649
1.475250	0.1	1.959079
1.476917	0.1	1.961922
1.478583	0.1	1.974139
1.480250	0.1	1.994160
1.481917	0.1	2.011582
1.483583	0.1	2.019678
1.485250	0.1	2.023569
1.486917	0.1	2.034248
1.488583	0.1	2.045751
1.490250	0.1	2.037049
1.491917	0.1	2.005548
1.493583	0.1	1.974056
1.495250	0.1	1.961032
1.496917	0.1	1.964955
1.498583	0.1	1.967116
1.500583	0.12	1.948148
1.502250	0.1	1.917497
1.503917	0.1	1.889026
1.505583	0.1	1.871889
1.507250	0.1	1.868719
1.508917	0.1	1.871565
1.510583	0.1	1.875879
1.512250	0.1	1.884474
1.513917	0.1	1.895533
1.515583	0.1	1.902712
1.517250	0.1	1.902929
1.518917	0.1	1.897685
1.520583	0.1	1.891590
1.522250	0.1	1.895072
1.523917	0.1	1.902654
1.525583	0.1	1.908160
1.527250	0.1	1.914529
1.528917	0.1	1.913980
1.530583	0.1	1.899483
1.532250	0.1	1.877328
1.534250	0.12	1.853222
1.535917	0.1	1.831725
1.537583	0.1	1.819432
1.539250	0.1	1.818803
1.540917	0.1	1.821511
1.542583	0.1	1.820614
1.544250	0.1	1.816086
1.545917	0.1	1.814608
1.547583	0.1	1.819646
1.549250	0.1	1.827262
1.550917	0.1	1.835606
1.552583	0.1	1.834759
1.554250	0.1	1.804258
1.555917	0.1	1.751810
1.557583	0.1	1.711207
1.559250	0.1	1.706431
1.560917	0.1	1.728289
1.562583	0.1	1.754798
1.564250	0.1	1.775997
1.566350	0.126	1.794280
1.568067	0.103	1.800961
1.569750	0.101	1.779240
1.571417	0.1	1.743582
1.573083	0.1	1.724602
1.574783	0.102	1.731578
1.576483	0.102	1.752638
1.578117	0.098	1.769136
